GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRP,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBG,TL_GEO_ID,NAME_E,AO8NE001,AO8NE002,AO8NE003,AO8NE004,AO8NE005,NAME_M,AO8NM001,AO8NM002,AO8NM003,AO8NM004,AO8NM005
"G0100010","2017-2021","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01001",,,"01001","Autauga County, Alabama",15321,2712,5093,5984,1532,"Autauga County, Alabama",599,373,528,558,314
"G0100030","2017-2021","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01003",,,"01003","Baldwin County, Alabama",58062,11992,17216,23830,5024,"Baldwin County, Alabama",1673,822,1317,1309,664
"G0100050","2017-2021","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01005",,,"01005","Barbour County, Alabama",5860,1453,2220,1858,329,"Barbour County, Alabama",277,213,278,255,107
"G0100070","2017-2021","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01007",,,"01007","Bibb County, Alabama",5018,1205,1833,1548,432,"Bibb County, Alabama",413,242,310,265,182
"G0100090","2017-2021","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01009",,,"01009","Blount County, Alabama",15213,3123,4905,5676,1509,"Blount County, Alabama",508,320,429,482,292
"G0100110","2017-2021","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01011",,,"01011","Bullock County, Alabama",2077,416,736,847,78,"Bullock County, Alabama",291,192,173,194,45
"G0100130","2017-2021","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01013",,,"01013","Butler County, Alabama",4317,861,1425,1669,362,"Butler County, Alabama",299,111,202,214,113
"G0100150","2017-2021","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01015",,,"01015","Calhoun County, Alabama",27960,5807,10103,9501,2549,"Calhoun County, Alabama",893,488,675,739,388
"G0100170","2017-2021","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01017",,,"01017","Chambers County, Alabama",9091,1955,3316,3206,614,"Chambers County, Alabama",491,264,411,397,165
"G0100190","2017-2021","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01019",,,"01019","Cherokee County, Alabama",6430,1848,1872,2334,376,"Cherokee County, Alabama",417,248,262,319,106
"G0100210","2017-2021","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01021",,,"01021","Chilton County, Alabama",11814,2725,3803,4544,742,"Chilton County, Alabama",544,331,468,496,207
"G0100230","2017-2021","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01023",,,"01023","Choctaw County, Alabama",3256,1035,1019,990,212,"Choctaw County, Alabama",280,185,189,202,105
"G0100250","2017-2021","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01025",,,"01025","Clarke County, Alabama",5333,1428,1820,1758,327,"Clarke County, Alabama",337,198,246,271,122
"G0100270","2017-2021","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01027",,,"01027","Clay County, Alabama",3721,955,1217,1356,193,"Clay County, Alabama",296,201,198,255,90
"G0100290","2017-2021","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01029",,,"01029","Cleburne County, Alabama",3755,879,1255,1280,341,"Cleburne County, Alabama",283,140,230,193,109
"G0100310","2017-2021","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01031",,,"01031","Coffee County, Alabama",13812,2520,4900,5276,1116,"Coffee County, Alabama",435,292,401,406,196
"G0100330","2017-2021","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01033",,,"01033","Colbert County, Alabama",14848,3444,5368,4793,1243,"Colbert County, Alabama",626,317,548,505,284
"G0100350","2017-2021","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01035",,,"01035","Conecuh County, Alabama",2498,1016,832,516,134,"Conecuh County, Alabama",274,183,214,132,59
"G0100370","2017-2021","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01037",,,"01037","Coosa County, Alabama",2591,643,1091,692,165,"Coosa County, Alabama",204,140,185,152,69
"G0100390","2017-2021","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01039",,,"01039","Covington County, Alabama",9356,2315,2764,3434,843,"Covington County, Alabama",405,227,280,284,179
"G0100410","2017-2021","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01041",,,"01041","Crenshaw County, Alabama",2936,530,978,1173,255,"Crenshaw County, Alabama",168,78,152,143,64
"G0100430","2017-2021","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01043",,,"01043","Cullman County, Alabama",22795,4379,7469,8531,2416,"Cullman County, Alabama",698,405,615,657,385
"G0100450","2017-2021","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01045",,,"01045","Dale County, Alabama",12543,2610,5163,4027,743,"Dale County, Alabama",516,370,477,341,152
"G0100470","2017-2021","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01047",,,"01047","Dallas County, Alabama",8122,1575,3404,2387,756,"Dallas County, Alabama",455,239,407,309,186
"G0100490","2017-2021","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01049",,,"01049","DeKalb County, Alabama",18329,3713,6190,6642,1784,"DeKalb County, Alabama",738,409,599,533,287
"G0100510","2017-2021","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01051",,,"01051","Elmore County, Alabama",23240,4000,7696,9453,2091,"Elmore County, Alabama",804,442,678,735,371
