geography_index,geography,geography_name,variable,marginal,person_or_household,year
1,region,San Francisco Bay Area,gq_num_hh_region,90857,NA,2015
1,county,San Francisco,pers_occ_management,74936,person,2015
1,county,San Francisco,pers_occ_professional,170328,person,2015
1,county,San Francisco,pers_occ_services,115925,person,2015
1,county,San Francisco,pers_occ_retail,82826,person,2015
1,county,San Francisco,pers_occ_manual,60898,person,2015
1,county,San Francisco,pers_occ_military,415,person,2015
2,county,San Mateo,pers_occ_management,56577,person,2015
2,county,San Mateo,pers_occ_professional,119639,person,2015
2,county,San Mateo,pers_occ_services,94359,person,2015
2,county,San Mateo,pers_occ_retail,62577,person,2015
2,county,San Mateo,pers_occ_manual,71739,person,2015
2,county,San Mateo,pers_occ_military,301,person,2015
3,county,Santa Clara,pers_occ_management,128177,person,2015
3,county,Santa Clara,pers_occ_professional,342876,person,2015
3,county,Santa Clara,pers_occ_services,194128,person,2015
3,county,Santa Clara,pers_occ_retail,132853,person,2015
3,county,Santa Clara,pers_occ_manual,169109,person,2015
3,county,Santa Clara,pers_occ_military,569,person,2015
4,county,Alameda,pers_occ_management,98978,person,2015
4,county,Alameda,pers_occ_professional,257734,person,2015
4,county,Alameda,pers_occ_services,198881,person,2015
4,county,Alameda,pers_occ_retail,115038,person,2015
4,county,Alameda,pers_occ_manual,155626,person,2015
4,county,Alameda,pers_occ_military,1485,person,2015
5,county,Contra Costa,pers_occ_management,70029,person,2015
5,county,Contra Costa,pers_occ_professional,139222,person,2015
5,county,Contra Costa,pers_occ_services,131134,person,2015
5,county,Contra Costa,pers_occ_retail,86098,person,2015
5,county,Contra Costa,pers_occ_manual,108924,person,2015
5,county,Contra Costa,pers_occ_military,808,person,2015
6,county,Solano,pers_occ_management,18243,person,2015
6,county,Solano,pers_occ_professional,40422,person,2015
6,county,Solano,pers_occ_services,54791,person,2015
6,county,Solano,pers_occ_retail,31258,person,2015
6,county,Solano,pers_occ_manual,51566,person,2015
6,county,Solano,pers_occ_military,4260,person,2015
7,county,Napa,pers_occ_management,9001,person,2015
7,county,Napa,pers_occ_professional,14334,person,2015
7,county,Napa,pers_occ_services,16394,person,2015
7,county,Napa,pers_occ_retail,12593,person,2015
7,county,Napa,pers_occ_manual,18819,person,2015
7,county,Napa,pers_occ_military,36,person,2015
8,county,Sonoma,pers_occ_management,29062,person,2015
8,county,Sonoma,pers_occ_professional,53366,person,2015
8,county,Sonoma,pers_occ_services,62262,person,2015
8,county,Sonoma,pers_occ_retail,42477,person,2015
8,county,Sonoma,pers_occ_manual,61967,person,2015
8,county,Sonoma,pers_occ_military,876,person,2015
9,county,Marin,pers_occ_management,23255,person,2015
9,county,Marin,pers_occ_professional,38195,person,2015
9,county,Marin,pers_occ_services,30542,person,2015
9,county,Marin,pers_occ_retail,20485,person,2015
9,county,Marin,pers_occ_manual,18092,person,2015
9,county,Marin,pers_occ_military,177,person,2015
1,taz,1,TOTHH,34,NA,2015
1,taz,1,TOTPOP,64,NA,2015
1,taz,1,hh_size_1,15,NA,2015
1,taz,1,hh_size_2,14,NA,2015
1,taz,1,hh_size_3,4,NA,2015
1,taz,1,hh_size_4_plus,1,NA,2015
1,taz,1,hh_wrks_0,7,NA,2015
1,taz,1,hh_wrks_1,19,NA,2015
1,taz,1,hh_wrks_2,7,NA,2015
1,taz,1,hh_wrks_3_plus,1,NA,2015
1,taz,1,hh_kids_no,32,NA,2015
1,taz,1,hh_kids_yes,2,NA,2015
1,taz,1,HHINCQ1,16,NA,2015
1,taz,1,HHINCQ2,7,NA,2015
1,taz,1,HHINCQ3,5,NA,2015
1,taz,1,HHINCQ4,6,NA,2015
1,taz,1,AGE0004,3,NA,2015
1,taz,1,AGE0519,3,NA,2015
1,taz,1,AGE2044,26,NA,2015
1,taz,1,AGE4564,16,NA,2015
1,taz,1,AGE65P,16,NA,2015
1,taz,1,gq_tot_pop,5,NA,2015
1,taz,1,gq_type_univ,1,NA,2015
1,taz,1,gq_type_mil,0,NA,2015
1,taz,1,gq_type_othnon,4,NA,2015
1,taz,1,numhh_gq,39,NA,2015
