TAZ,PUMA,COUNTY,county_name,REGION
1,2203,1,San Francisco,1
2,2203,1,San Francisco,1
3,2203,1,San Francisco,1
4,2203,1,San Francisco,1
5,2203,1,San Francisco,1
6,2203,1,San Francisco,1
7,2203,1,San Francisco,1
8,2203,1,San Francisco,1
9,2203,1,San Francisco,1
10,2203,1,San Francisco,1
11,2203,1,San Francisco,1
12,2203,1,San Francisco,1
13,2203,1,San Francisco,1
14,2203,1,San Francisco,1
15,2203,1,San Francisco,1
16,2203,1,San Francisco,1
17,2203,1,San Francisco,1
18,2203,1,San Francisco,1
19,2203,1,San Francisco,1
20,2203,1,San Francisco,1
21,2203,1,San Francisco,1
22,2202,1,San Francisco,1
23,2202,1,San Francisco,1
24,2202,1,San Francisco,1
25,2202,1,San Francisco,1
26,2202,1,San Francisco,1
27,2202,1,San Francisco,1
28,2202,1,San Francisco,1
29,2202,1,San Francisco,1
30,2203,1,San Francisco,1
31,2203,1,San Francisco,1
32,2202,1,San Francisco,1
33,2202,1,San Francisco,1
34,2202,1,San Francisco,1
35,2202,1,San Francisco,1
36,2202,1,San Francisco,1
37,2202,1,San Francisco,1
38,2202,1,San Francisco,1
39,2202,1,San Francisco,1
40,2202,1,San Francisco,1
41,2202,1,San Francisco,1
42,2202,1,San Francisco,1
43,2202,1,San Francisco,1
44,2202,1,San Francisco,1
45,2202,1,San Francisco,1
46,2202,1,San Francisco,1
47,2202,1,San Francisco,1
48,2202,1,San Francisco,1
49,2202,1,San Francisco,1
50,2202,1,San Francisco,1
51,2202,1,San Francisco,1
52,2201,1,San Francisco,1
53,2201,1,San Francisco,1
54,2201,1,San Francisco,1
55,2201,1,San Francisco,1
56,2201,1,San Francisco,1
57,2201,1,San Francisco,1
58,2201,1,San Francisco,1
59,2201,1,San Francisco,1
60,2201,1,San Francisco,1
61,2201,1,San Francisco,1
62,2201,1,San Francisco,1
63,2201,1,San Francisco,1
64,2201,1,San Francisco,1
65,2201,1,San Francisco,1
66,2201,1,San Francisco,1
67,2201,1,San Francisco,1
68,2201,1,San Francisco,1
69,2201,1,San Francisco,1
70,2201,1,San Francisco,1
71,2201,1,San Francisco,1
72,2201,1,San Francisco,1
73,2201,1,San Francisco,1
74,2201,1,San Francisco,1
75,2201,1,San Francisco,1
76,2201,1,San Francisco,1
77,2201,1,San Francisco,1
78,2201,1,San Francisco,1
79,2201,1,San Francisco,1
80,2201,1,San Francisco,1
81,2204,1,San Francisco,1
82,2204,1,San Francisco,1
83,2204,1,San Francisco,1
84,2204,1,San Francisco,1
85,2201,1,San Francisco,1
86,2201,1,San Francisco,1
87,2201,1,San Francisco,1
88,2204,1,San Francisco,1
89,2204,1,San Francisco,1
90,2205,1,San Francisco,1
91,2205,1,San Francisco,1
92,2205,1,San Francisco,1
93,2205,1,San Francisco,1
94,2204,1,San Francisco,1
95,2204,1,San Francisco,1
96,2204,1,San Francisco,1
97,2204,1,San Francisco,1
98,2204,1,San Francisco,1
99,2204,1,San Francisco,1
100,2203,1,San Francisco,1
101,2203,1,San Francisco,1
102,2204,1,San Francisco,1
103,2204,1,San Francisco,1
104,2204,1,San Francisco,1
105,2204,1,San Francisco,1
106,2204,1,San Francisco,1
107,2203,1,San Francisco,1
108,2203,1,San Francisco,1
109,2203,1,San Francisco,1
110,2203,1,San Francisco,1
111,2203,1,San Francisco,1
112,2203,1,San Francisco,1
113,2203,1,San Francisco,1
114,2203,1,San Francisco,1
115,2203,1,San Francisco,1
116,2203,1,San Francisco,1
117,2203,1,San Francisco,1
118,2203,1,San Francisco,1
119,2203,1,San Francisco,1
120,2203,1,San Francisco,1
121,2204,1,San Francisco,1
122,2204,1,San Francisco,1
123,2204,1,San Francisco,1
124,2204,1,San Francisco,1
125,2204,1,San Francisco,1
126,2204,1,San Francisco,1
127,2206,1,San Francisco,1
128,2204,1,San Francisco,1
129,2204,1,San Francisco,1
130,2206,1,San Francisco,1
131,2206,1,San Francisco,1
132,2206,1,San Francisco,1
