taz,county,PUMA
1,1,2203
2,1,2203
3,1,2203
4,1,2203
5,1,2203
6,1,2203
7,1,2203
8,1,2203
9,1,2203
10,1,2203
11,1,2203
12,1,2203
13,1,2203
14,1,2203
15,1,2203
16,1,2203
17,1,2203
18,1,2203
19,1,2203
20,1,2203
21,1,2203
22,1,2202
23,1,2202
24,1,2202
25,1,2202
26,1,2202
27,1,2202
28,1,2202
29,1,2202
30,1,2203
31,1,2203
32,1,2202
33,1,2202
34,1,2202
35,1,2202
36,1,2202
37,1,2202
38,1,2202
39,1,2202
40,1,2202
41,1,2202
42,1,2202
43,1,2202
44,1,2202
45,1,2202
46,1,2202
47,1,2202
48,1,2202
49,1,2202
50,1,2202
51,1,2202
52,1,2201
53,1,2201
54,1,2201
55,1,2201
56,1,2201
57,1,2201
58,1,2201
59,1,2201
60,1,2201
61,1,2201
62,1,2201
63,1,2201
64,1,2201
65,1,2201
66,1,2201
67,1,2201
68,1,2201
69,1,2201
70,1,2201
71,1,2201
72,1,2201
73,1,2201
74,1,2201
75,1,2201
76,1,2201
77,1,2201
78,1,2201
79,1,2201
80,1,2201
81,1,2204
82,1,2204
83,1,2204
84,1,2204
85,1,2201
86,1,2201
87,1,2201
88,1,2204
89,1,2204
90,1,2205
91,1,2205
92,1,2205
93,1,2205
94,1,2204
95,1,2204
96,1,2204
97,1,2204
98,1,2204
99,1,2204
100,1,2203
101,1,2203
102,1,2204
103,1,2204
104,1,2204
105,1,2204
106,1,2204
107,1,2203
108,1,2203
109,1,2203
110,1,2203
111,1,2203
112,1,2203
113,1,2203
114,1,2203
115,1,2203
116,1,2203
117,1,2203
118,1,2203
119,1,2203
120,1,2203
121,1,2204
122,1,2204
123,1,2204
124,1,2204
125,1,2204
126,1,2204
127,1,2206
128,1,2204
129,1,2204
130,1,2206
131,1,2206
132,1,2206
133,1,2206
134,1,2206
135,1,2207
136,1,2207
137,1,2207
138,1,2207
139,1,2207
140,1,2207
141,1,2207
142,1,2207
143,1,2207
144,1,2207
145,1,2207
146,1,2207
147,1,2207
148,1,2207
149,1,2207
150,1,2207
151,1,2207
152,1,2207
153,1,2207
154,1,2207
155,1,2207
156,1,2207
157,1,2207
158,1,2207
159,1,2207
160,1,2207
161,1,2207
162,1,2207
163,1,2207
164,1,2206
165,1,2206
166,1,2206
167,1,2206
168,1,2206
169,1,2206
170,1,2206
171,1,2206
172,1,2205
173,1,2205
174,1,2205
175,1,2205
176,1,2205
177,1,2205
178,1,2205
179,1,2205
180,1,2205
181,1,2205
182,1,2205
183,1,2205
184,1,2205
185,1,2205
186,1,2206
187,1,2206
188,1,2206
189,1,2206
190,1,2206
191,2,2301
192,2,2301
193,2,2301
194,2,2301
195,2,2301
196,2,2301
197,2,2301
198,2,2301
199,2,2301
200,2,2301
201,2,2301
202,2,2301
203,2,2301
204,2,2301
205,2,2301
206,2,2302
207,2,2302
208,2,2302
209,2,2302
210,2,2302
211,2,2302
212,2,2302
213,2,2302
214,2,2302
215,2,2302
216,2,2302
217,2,2302
218,2,2301
219,2,2301
220,2,2301
221,2,2301
222,2,2301
223,2,2301
224,2,2301
225,2,2301
226,2,2301
227,2,2301
228,2,2302
229,2,2302
230,2,2302
231,2,2302
232,2,2302
233,2,2302
234,2,2302
235,2,2302
236,2,2302
237,2,2302
238,2,2302
239,2,2302
240,2,2303
241,2,2303
242,2,2303
243,2,2303
244,2,2303
245,2,2303
246,2,2303
247,2,2303
248,2,2303
249,2,2303
250,2,2303
251,2,2303
252,2,2303
253,2,2303
254,2,2303
255,2,2303
256,2,2303
257,2,2303
258,2,2303
259,2,2303
260,2,2303
261,2,2303
262,2,2303
263,2,2304
264,2,2304
265,2,2304
266,2,2304
267,2,2304
268,2,2304
269,2,2304
270,2,2304
271,2,2304
272,2,2304
273,2,2304
274,2,2304
275,2,2305
276,2,2304
277,2,2304
278,2,2304
279,2,2304
280,2,2304
281,2,2304
282,2,2304
283,2,2304
284,2,2304
285,2,2304
286,2,2305
287,2,2305
288,2,2305
289,2,2305
290,2,2304
291,2,2304
292,2,2304
293,2,2304
294,2,2304
295,2,2304
296,2,2304
297,2,2304
298,2,2306
299,2,2306
300,2,2306
301,2,2305
302,2,2306
303,2,2305
304,2,2305
305,2,2305
306,2,2305
307,2,2305
308,2,2305
309,2,2305
310,2,2305
311,2,2305
